"unitid","revenue","expenditure","enrollment","partic","women"
137096,1345.353,1345.853,2795.6,72,0
137209,116.878,116.878,2824.5,12,0
137351,36496.992,37247.676,10852.4,593,0
137476,5181.33,5000.246,463,391,0
137546,18738.167,18738.167,1303.6,478,0
137564,6376.087,6165.996,1841,450,0
137759,2154.118,2154.118,2864.25,104,0
137847,13169.753,12557.171,3176.4,1050,0
137953,726.029,717.479,173,226,0
137962,801.854,801.854,90.8,121,0
138275,6769.137,6758.513,479.5,668,0
138293,8347.296,8156.629,437.6,692,0
138354,7218.774,7177.33,3025,396,0
138558,309.723,309.723,1241.8,49,0
138682,451.051,448.282,452.8,73,0
138691,131.368,131.368,768,35,0
138716,984.86,1482.97,1021.2,221,0
138761,1540.254,1283.393,119.666666666667,177,0
138789,840.264,840.264,1549,36,0
138868,8916.252,8916.252,533.4,594,0
138901,739.999,739.999,424.666666666667,35,0
138947,3017.293,2906.363,798.375,147,0
139144,5802.04,5196.967,771.414634146341,959,0
139205,7290.188,7290.188,248.92,762,0
139250,1876.489,1876.489,690.8,156,0
139278,177.168,177.168,631,46,0
139287,468.141,468.141,22.5,27,0
139311,4963.265,4674.204,1084.8,458,0
139366,5293.067,5293.067,1843.4,531,0
139384,236.32,234.24,630.666666666667,33,0
139393,1853.702,1824.391,441.6,411,0
139463,1510.442,1510.442,1289,165,0
139621,653.642,653.642,862.6,75,0
139630,13520.383,13391.167,414.037037037037,1351,0
139658,6974.206,5927.801,2758.61538461538,1082,0
139700,1017.261,1046.694,1100.2,59,0
139719,1242.147,1437.106,857.5625,230,0
139755,35761.842,51238.586,8598.4,839,0
139764,2377.863,2377.863,629.4,258,0
139861,3208.731,3172.6,2041.2,183,0
139931,10835.267,13131.332,8155.4,351,0
139940,20464.659,20464.659,8149.2,317,0
139959,53359.648,63961.413,11517.8,796,0
139968,11.87,14.87,928,5,0
139986,416.026,335.906,544.4,75,0
140234,2264.261,2264.261,432.346153846154,413,0
140252,8955.304,8904.394,312.655172413793,882,0
140331,65.783,65.479,1365,16,0
140447,21261.939,21261.592,1647.4,603,0
140696,3607.774,3607.774,485.6,804,0
140720,1581.097,1581.097,181.8,184,0
140818,3929.278,3821.989,409.774193548387,736,0
140872,8636.582,8611.151,651.852941176471,880,0
140951,20057.91,19970.304,2928.21052631579,863,0
140960,4215.736,4193.838,1453.6,361,0
140988,8988.367,8988.367,515.8,863,0
141006,1492.642,1479.268,474.2,74,0
141167,5107.696,5035.972,228.8,327,0
141185,323.073,306.658,351.583333333333,189,0
141237,5155.415,5155.415,324.64,452,0
